Pogram,Program Code,Program Type,Major CIP,CIP Area,Degee,Major,Marjo Code,Students AY 2025,FY 2022 Grads,Wages Found,Median Wages,FY 24 Grads,Transferred in 1 Year,Median Hourly,5 Year Job Change,Articulations,Labor Market Analysis
Construction Management: AS,CMGT-AS,Transfer,460412,Bldg Const Site Mgt/Manager,AS,Construction Management,CMGT,183,0,0,,15,5,40.85,0.16,1,"Current demand: 11,635 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 13,434 jobs by 2030 (15%), a net change of 1,799; national-trend adjustment suggests 596. Earnings: average annual pay ranges from $43,809 to $98,000 across mapped roles; top-paying role locally is Facilities Managers ($98,000). Typical education: High school diploma or equivalent. Completions: 3,699 regional graduates in 2024 (SLCC: 324), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: First-Line Supervisors of Construction Trades and Extraction Workers (10,189 jobs, $79,933); Facilities Managers (1,419 jobs, $98,000). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Creative Arts Entrepreneur: CP,VACA-CP,Workforce,520701,Entrepreneurship Studies,CP,Creative Arts Entrepreneurship,VACA,1,0,0,,0,0,46.79,0.14,0,"Current demand: 66,892 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 77,064 jobs by 2030 (15%), a net change of 10,172; national-trend adjustment suggests 6,734. Earnings: average annual pay ranges from $92,689 to $167,863 across mapped roles; top-paying role locally is Chief Executives ($167,863). Typical education: Bachelor's degree. Completions: 61,532 regional graduates in 2024 (SLCC: 6,952), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: General and Operations Managers (35,802 jobs, $119,222); Managers, All Other (22,545 jobs, $92,689). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Criminal Justice: AAS,CJ-AAS,Workforce,430104,Criminal Justice/Safety Study,AAS,Criminal Justice,CJ,135,20,16,31642,15,5,40.69,0.16,0,"Current demand: 2,512 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,868 jobs by 2030 (14%), a net change of 355; national-trend adjustment suggests 142. Earnings: average annual pay ranges from $54,027 to $115,329 across mapped roles; top-paying role locally is First-Line Supervisors of Police and Detectives ($115,329). Typical education: High school diploma or equivalent. Completions: 1,532 regional graduates in 2024 (SLCC: 183), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Life, Physical, and Social Science Technicians, All Other (1,440 jobs, $54,027); First-Line Supervisors of Police and Detectives (908 jobs, $115,329). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Criminal Justice: AS,CJ-AS,Transfer,430104,Criminal Justice/Safety Study,AS,Criminal Justice,CJ,469,0,0,,55,26,40.69,0.16,3,"Current demand: 2,512 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,868 jobs by 2030 (14%), a net change of 355; national-trend adjustment suggests 142. Earnings: average annual pay ranges from $54,027 to $115,329 across mapped roles; top-paying role locally is First-Line Supervisors of Police and Detectives ($115,329). Typical education: High school diploma or equivalent. Completions: 1,532 regional graduates in 2024 (SLCC: 183), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Life, Physical, and Social Science Technicians, All Other (1,440 jobs, $54,027); First-Line Supervisors of Police and Detectives (908 jobs, $115,329). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Culinary Arts: AAS,CHEF-AAS,Workforce,120503,Culinary Arts,AAS,Culinary Arts,CHEF,135,22,18,42020.5,16,1,18.67,0.16,0,"Current demand: 17,808 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 21,123 jobs by 2030 (19%), a net change of 3,315; national-trend adjustment suggests 1,706. Earnings: average annual pay ranges from $37,939 to $53,570 across mapped roles; top-paying role locally is Cooks, Private Household ($53,570). Typical education: High school diploma or equivalent. Completions: 773 regional graduates in 2024 (SLCC: 65), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Cooks, Restaurant (7,917 jobs, $37,939); First-Line Supervisors of Food Preparation and Serving Workers (7,914 jobs, $42,157). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Cultural Resource Mgmt: CP,CRM-CP,Workforce,301202,Cultural Resource Management,CP,Cultural Resource Management,CRM,2,3,2,33064,0,0,47.35,0.13,0,"Current demand: 22,545 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 26,370 jobs by 2030 (17%), a net change of 3,824; national-trend adjustment suggests 2,881. Earnings: average annual pay ranges from $92,689 to $92,689 across mapped roles; top-paying role locally is Managers, All Other ($92,689). Typical education: Bachelor's degree. Completions: 25,102 regional graduates in 2024 (SLCC: 2,550), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Managers, All Other (22,545 jobs, $92,689). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Database Info Systems: CP,CSDB-CP,Workforce,110101,"Computer/Info Science, General",CP,Database Information Systems,CSDB,1,10,8,61492.5,16,6,51.73,0.17,0,"Current demand: 26,531 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 31,360 jobs by 2030 (18%), a net change of 4,829; national-trend adjustment suggests 2,707. Earnings: average annual pay ranges from $89,800 to $167,421 across mapped roles; top-paying role locally is Computer and Information Systems Managers ($167,421). Typical education: Bachelor's degree. Completions: 85,563 regional graduates in 2024 (SLCC: 4,256), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Computer and Information Systems Managers (7,704 jobs, $167,421); Computer Occupations, All Other (4,988 jobs, $100,033). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Dental Hygiene: AAS,DH-AAS,Workforce,510602,"Dental Hygiene, Hygienist",AAS,Dental Hygiene,DH,46,21,18,59617.5,23,5,40.5,0.08,0,"Current demand: 2,927 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 3,337 jobs by 2030 (14%), a net change of 410; national-trend adjustment suggests 240. Earnings: average annual pay ranges from $88,053 to $88,053 across mapped roles; top-paying role locally is Dental Hygienists ($88,053). Typical education: Associate's degree. Completions: 142 regional graduates in 2024 (SLCC: 23), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Dental Hygienists (2,927 jobs, $88,053). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Diesel Systems Tech/Apprentice,DSTA-AAS,Workforce,470605,Diesel Mechanics Technology,AAS,Diesel Systems Tech - Appr,DSTA,32,4,0,,2,0,26.67,0.09,0,"Current demand: 2,367 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,640 jobs by 2030 (12%), a net change of 273; national-trend adjustment suggests 152. Earnings: average annual pay ranges from $65,609 to $65,609 across mapped roles; top-paying role locally is Bus and Truck Mechanics and Diesel Engine Specialists ($65,609). Typical education: High school diploma or equivalent. Completions: 119 regional graduates in 2024 (SLCC: 19), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Bus and Truck Mechanics and Diesel Engine Specialists (2,367 jobs, $65,609). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Diesel Systems Tech: CP,TEDT-CP,Workforce,470605,Diesel Mechanics Technology,CP,Diesel Systems Technician,TEDT,48,0,0,,8,0,26.67,0.09,0,"Current demand: 2,367 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,640 jobs by 2030 (12%), a net change of 273; national-trend adjustment suggests 152. Earnings: average annual pay ranges from $65,609 to $65,609 across mapped roles; top-paying role locally is Bus and Truck Mechanics and Diesel Engine Specialists ($65,609). Typical education: High school diploma or equivalent. Completions: 119 regional graduates in 2024 (SLCC: 19), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Bus and Truck Mechanics and Diesel Engine Specialists (2,367 jobs, $65,609). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Diesel Systems Technology: AAS,DDST-AAS,Workforce,470605,Diesel Mechanics Technology,AAS,Diesel Sytems Technology,DDST,25,0,0,,0,0,26.67,0.09,0,"Current demand: 2,367 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,640 jobs by 2030 (12%), a net change of 273; national-trend adjustment suggests 152. Earnings: average annual pay ranges from $65,609 to $65,609 across mapped roles; top-paying role locally is Bus and Truck Mechanics and Diesel Engine Specialists ($65,609). Typical education: High school diploma or equivalent. Completions: 119 regional graduates in 2024 (SLCC: 19), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Bus and Truck Mechanics and Diesel Engine Specialists (2,367 jobs, $65,609). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Diesel Systems Technology: AAS,DST-AAS,Workforce,470605,Diesel Mechanics Technology,AAS,Diesel Systems Technology,DST,4,4,4,66843,6,0,26.67,0.09,0,"Current demand: 2,367 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,640 jobs by 2030 (12%), a net change of 273; national-trend adjustment suggests 152. Earnings: average annual pay ranges from $65,609 to $65,609 across mapped roles; top-paying role locally is Bus and Truck Mechanics and Diesel Engine Specialists ($65,609). Typical education: High school diploma or equivalent. Completions: 119 regional graduates in 2024 (SLCC: 19), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Bus and Truck Mechanics and Diesel Engine Specialists (2,367 jobs, $65,609). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Digital Marketing: CP,DMKT-CP,Workforce,090702,Digital Comm & Media/Multimedi,CP,Digital Marketing,DMKT,2,2,2,28530.5,2,0,43.29,0.17,0,"Current demand: 24,430 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 28,556 jobs by 2030 (17%), a net change of 4,127; national-trend adjustment suggests 3,048. Earnings: average annual pay ranges from $50,348 to $92,689 across mapped roles; top-paying role locally is Managers, All Other ($92,689). Typical education: Bachelor's degree. Completions: 30,084 regional graduates in 2024 (SLCC: 3,065), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Managers, All Other (22,545 jobs, $92,689); Web and Digital Interface Designers (1,572 jobs, $89,800). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Earth & Environment Science:AS,ESCI-AS,Transfer,400601,"Geology/Earth Science, General",AS,Earth & Environment Science,ESCI,83,0,0,,0,0,44.33,0.15,1,"Current demand: 1,558 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 1,804 jobs by 2030 (16%), a net change of 246; national-trend adjustment suggests 108. Earnings: average annual pay ranges from $70,846 to $133,182 across mapped roles; top-paying role locally is Natural Sciences Managers ($133,182). Typical education: Bachelor's degree. Completions: 2,809 regional graduates in 2024 (SLCC: 77), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Natural Sciences Managers (1,011 jobs, $133,182); Geoscientists, Except Hydrologists and Geographers (330 jobs, $112,573). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Economics: AS,ECON-AS,Transfer,450601,"Economics, General",AS,Economics,ECON,60,0,0,,7,3,44.82,0.16,1,"Current demand: 31,318 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 35,988 jobs by 2030 (15%), a net change of 4,670; national-trend adjustment suggests 3,153. Earnings: average annual pay ranges from $62,749 to $92,689 across mapped roles; top-paying role locally is Managers, All Other ($92,689). Typical education: Bachelor's degree. Completions: 31,781 regional graduates in 2024 (SLCC: 2,898), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Managers, All Other (22,545 jobs, $92,689); Secondary School Teachers, Except Special and Career/Technical Education (7,554 jobs, $71,566). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Education: AS,EDUC-AS,Transfer,131206,Teacher Educ - Multiple Levels,AS,Education,EDUC,586,0,0,,52,30,30.63,0.08,2,"Current demand: 25,600 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 28,369 jobs by 2030 (11%), a net change of 2,768; national-trend adjustment suggests 748. Earnings: average annual pay ranges from $35,627 to $76,185 across mapped roles; top-paying role locally is Middle School Teachers, Except Special and Career/Technical Education ($76,185). Typical education: Bachelor's degree. Completions: 18,245 regional graduates in 2024 (SLCC: 396), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Elementary School Teachers, Except Special Education (10,372 jobs, $65,141); Secondary School Teachers, Except Special and Career/Technical Education (7,554 jobs, $71,566). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Electrical Apprenticeship: CP,TEEL-CP,Workforce,460302,Electrician,CP,Electrical Apprenticeship,TEEL,248,0,0,,0,0,35.22,0.17,0,"Current demand: 20,591 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 24,506 jobs by 2030 (19%), a net change of 3,915; national-trend adjustment suggests 1,499. Earnings: average annual pay ranges from $58,769 to $79,933 across mapped roles; top-paying role locally is First-Line Supervisors of Construction Trades and Extraction Workers ($79,933). Typical education: High school diploma or equivalent. Completions: 896 regional graduates in 2024 (SLCC: 58), indicating a likely talent shortfall relative to net growth. Highlighted occupations: First-Line Supervisors of Construction Trades and Extraction Workers (10,189 jobs, $79,933); Electricians (9,614 jobs, $65,315). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Electrician - Independent: AAS,ELI-AAS,Workforce,460302,Electrician,AAS,"Electrical, Independent - Appr",ELI,208,10,7,77150,6,0,35.22,0.17,0,"Current demand: 20,591 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 24,506 jobs by 2030 (19%), a net change of 3,915; national-trend adjustment suggests 1,499. Earnings: average annual pay ranges from $58,769 to $79,933 across mapped roles; top-paying role locally is First-Line Supervisors of Construction Trades and Extraction Workers ($79,933). Typical education: High school diploma or equivalent. Completions: 896 regional graduates in 2024 (SLCC: 58), indicating a likely talent shortfall relative to net growth. Highlighted occupations: First-Line Supervisors of Construction Trades and Extraction Workers (10,189 jobs, $79,933); Electricians (9,614 jobs, $65,315). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Electronics Assembly Tech: CA,TEEA-CA,Workforce,150303,"Electrical, Electronic & Comm",CA,Electronics Assembly Tech,TEEA,6,0,0,,0,0,24.23,0.12,0,"Current demand: 1,876 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,103 jobs by 2030 (12%), a net change of 227; national-trend adjustment suggests 107. Earnings: average annual pay ranges from $56,459 to $107,210 across mapped roles; top-paying role locally is Electrical and Electronics Repairers, Powerhouse, Substation, and Relay ($107,210). Typical education: Associate's degree. Completions: 401 regional graduates in 2024 (SLCC: 111), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Electrical and Electronic Engineering Technologists and Technicians (926 jobs, $72,886); Electro-Mechanical and Mechatronics Technologists and Technicians (307 jobs, $56,459). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Electronics Engr Tech: AAS,EET-AAS,Workforce,150303,"Electrical, Electronic & Comm",AAS,Electronics Engineering Tech,EET,5,3,3,81370,2,0,24.23,0.12,0,"Current demand: 1,876 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,103 jobs by 2030 (12%), a net change of 227; national-trend adjustment suggests 107. Earnings: average annual pay ranges from $56,459 to $107,210 across mapped roles; top-paying role locally is Electrical and Electronics Repairers, Powerhouse, Substation, and Relay ($107,210). Typical education: Associate's degree. Completions: 401 regional graduates in 2024 (SLCC: 111), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Electrical and Electronic Engineering Technologists and Technicians (926 jobs, $72,886); Electro-Mechanical and Mechatronics Technologists and Technicians (307 jobs, $56,459). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Electronics Technology: CP,TEET-CP,Workforce,470105,Industrial Electronics Tech,CP,Certified Electonics Tech,TEET,36,0,0,,0,0,27.07,0.14,0,"Current demand: 722 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 760 jobs by 2030 (5%), a net change of 38; national-trend adjustment suggests 33. Earnings: average annual pay ranges from $46,536 to $68,377 across mapped roles; top-paying role locally is Electrical and Electronics Repairers, Commercial and Industrial Equipment ($68,377). Typical education: High school diploma or equivalent. Completions: 248 regional graduates in 2024 (SLCC: 21), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Electrical and Electronics Repairers, Commercial and Industrial Equipment (575 jobs, $68,377); Semiconductor Processing Technicians (146 jobs, $46,536). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Emergency Medical Tech: CA,EMT-CA,Workforce,510904,Emergency Medical Technician,CA,Emergency Medical Tech,EMT,102,0,0,,0,0,24.14,0.15,0,"Current demand: 1,605 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 1,831 jobs by 2030 (14%), a net change of 226; national-trend adjustment suggests 93. Earnings: average annual pay ranges from $39,663 to $69,270 across mapped roles; top-paying role locally is Paramedics ($69,270). Typical education: Postsecondary nondegree award. Completions: 874 regional graduates in 2024 (SLCC: 0), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Paramedics (869 jobs, $69,270); Emergency Medical Technicians (736 jobs, $39,663). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Engineering Full: APE,ENGF-APE,Transfer,140102,Pre-Engineering,APE,General Engineering,ENGF,657,0,0,,21,19,50.17,0.19,0,"Current demand: 15,147 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 17,611 jobs by 2030 (16%), a net change of 2,463; national-trend adjustment suggests 2,516. Earnings: average annual pay ranges from $97,570 to $97,570 across mapped roles; top-paying role locally is Unclassified Occupation ($97,570). Completions: 80 regional graduates in 2024 (SLCC: 1), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Unclassified Occupation (15,147 jobs, $97,570). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Engineering Trad: APE,ENGT-APE,Transfer,140102,Pre-Engineering,APE,General Engineering,ENGT,270,0,0,,4,3,50.17,0.19,0,"Current demand: 15,147 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 17,611 jobs by 2030 (16%), a net change of 2,463; national-trend adjustment suggests 2,516. Earnings: average annual pay ranges from $97,570 to $97,570 across mapped roles; top-paying role locally is Unclassified Occupation ($97,570). Completions: 80 regional graduates in 2024 (SLCC: 1), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Unclassified Occupation (15,147 jobs, $97,570). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Engineering/Civil/Envir: APE,ENCV-APE,Transfer,140801,"Civil Engineering, Other",APE,Engineering/Civil/Environ,ENCV,2,0,0,,1,1,52.85,0.18,0,"Current demand: 5,893 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 6,838 jobs by 2030 (16%), a net change of 946; national-trend adjustment suggests 435. Earnings: average annual pay ranges from $98,829 to $155,446 across mapped roles; top-paying role locally is Architectural and Engineering Managers ($155,446). Typical education: Bachelor's degree. Completions: 2,777 regional graduates in 2024 (SLCC: 61), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Civil Engineers (3,972 jobs, $98,829); Architectural and Engineering Managers (1,921 jobs, $155,446). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Engineering/Electrical: APE,ENEL-APE,Transfer,141001,"Electrical, Electr & Comm Eng",APE,Engineering/Electrical,ENEL,3,0,0,,1,1,61.9,0.2,0,"Current demand: 5,034 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 5,929 jobs by 2030 (18%), a net change of 895; national-trend adjustment suggests 370. Earnings: average annual pay ranges from $114,208 to $155,446 across mapped roles; top-paying role locally is Architectural and Engineering Managers ($155,446). Typical education: Bachelor's degree. Completions: 6,493 regional graduates in 2024 (SLCC: 153), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Architectural and Engineering Managers (1,921 jobs, $155,446); Electrical Engineers (1,483 jobs, $117,836). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Engineering/Mechanical: APE,ENME-APE,Transfer,141901,Mechanical Engineering,APE,Engineering/Mechanical,ENME,8,0,0,,1,0,52.61,0.17,0,"Current demand: 7,012 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 8,157 jobs by 2030 (16%), a net change of 1,145; national-trend adjustment suggests 444. Earnings: average annual pay ranges from $85,661 to $155,446 across mapped roles; top-paying role locally is Architectural and Engineering Managers ($155,446). Typical education: Bachelor's degree. Completions: 5,228 regional graduates in 2024 (SLCC: 389), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Mechanical Engineers (2,579 jobs, $104,271); Cost Estimators (1,956 jobs, $85,661). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
English Studies: AS,ENGS-AS,Transfer,230101,English Language & Lit/General,AS,English Studies,ENGS,156,0,0,,37,27,35.36,0.08,0,"Current demand: 7,684 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 8,400 jobs by 2030 (9%), a net change of 717; national-trend adjustment suggests 172. Earnings: average annual pay ranges from $56,233 to $71,566 across mapped roles; top-paying role locally is Secondary School Teachers, Except Special and Career/Technical Education ($71,566). Typical education: Bachelor's degree. Completions: 5,198 regional graduates in 2024 (SLCC: 175), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Secondary School Teachers, Except Special and Career/Technical Education (7,554 jobs, $71,566); Proofreaders and Copy Markers (130 jobs, $56,233). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
English: AA,ENGL-AA,Transfer,230101,English Language & Lit/General,AA,English,ENGL,1,0,0,,0,0,35.36,0.08,0,"Current demand: 7,684 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 8,400 jobs by 2030 (9%), a net change of 717; national-trend adjustment suggests 172. Earnings: average annual pay ranges from $56,233 to $71,566 across mapped roles; top-paying role locally is Secondary School Teachers, Except Special and Career/Technical Education ($71,566). Typical education: Bachelor's degree. Completions: 5,198 regional graduates in 2024 (SLCC: 175), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Secondary School Teachers, Except Special and Career/Technical Education (7,554 jobs, $71,566); Proofreaders and Copy Markers (130 jobs, $56,233). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
English: AS,ENGL-AS,Transfer,230101,English Language & Lit/General,AS,English,ENGL,1,0,0,,1,0,35.36,0.08,3,"Current demand: 7,684 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 8,400 jobs by 2030 (9%), a net change of 717; national-trend adjustment suggests 172. Earnings: average annual pay ranges from $56,233 to $71,566 across mapped roles; top-paying role locally is Secondary School Teachers, Except Special and Career/Technical Education ($71,566). Typical education: Bachelor's degree. Completions: 5,198 regional graduates in 2024 (SLCC: 175), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Secondary School Teachers, Except Special and Career/Technical Education (7,554 jobs, $71,566); Proofreaders and Copy Markers (130 jobs, $56,233). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
English-as-Second Language: PI,TESL-PI,Workforce,320109,Second Language Learning,PI,English-as-Second-Language,TESL,1399,0,0,,0,0,0,0,0,"Current demand: 15,147 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 17,611 jobs by 2030 (16%), a net change of 2,463; national-trend adjustment suggests 2,516. Earnings: average annual pay ranges from $97,570 to $97,570 across mapped roles; top-paying role locally is Unclassified Occupation ($97,570). Completions: 80 regional graduates in 2024 (SLCC: 1), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Unclassified Occupation (15,147 jobs, $97,570). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Engr Design/Draft Tech: AS,EDDT-AS,Transfer,151301,"Drafting & Design Tech, Gen",AS,Engr Design/Drafting Tech,EDDT,44,0,0,,0,0,32.47,0.12,0,"Current demand: 2,137 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,344 jobs by 2030 (10%), a net change of 207; national-trend adjustment suggests 60. Earnings: average annual pay ranges from $65,625 to $77,149 across mapped roles; top-paying role locally is Drafters, All Other ($77,149). Typical education: Associate's degree. Completions: 571 regional graduates in 2024 (SLCC: 77), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Architectural and Civil Drafters (1,212 jobs, $65,625); Mechanical Drafters (450 jobs, $68,521). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Engr Design/Draft Tech: CER,EDDT-CER,Workforce,151301,"Drafting & Design Tech, Gen",CER,Engr Design/Drafting Tech,EDDT,10,0,0,,9,3,32.47,0.12,0,"Current demand: 2,137 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,344 jobs by 2030 (10%), a net change of 207; national-trend adjustment suggests 60. Earnings: average annual pay ranges from $65,625 to $77,149 across mapped roles; top-paying role locally is Drafters, All Other ($77,149). Typical education: Associate's degree. Completions: 571 regional graduates in 2024 (SLCC: 77), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Architectural and Civil Drafters (1,212 jobs, $65,625); Mechanical Drafters (450 jobs, $68,521). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
